jogador,rodada,numero,cor,resultado,saldo
1,476,11,Preto,Derrota,240
1,477,33,Preto,Derrota,235
1,478,0,Verde,Derrota,230
1,479,18,Vermelho,Vitória,235
1,480,11,Preto,Derrota,230
1,481,31,Preto,Derrota,225
1,482,20,Preto,Derrota,220
1,483,19,Vermelho,Vitória,225
1,484,14,Vermelho,Vitória,230
1,485,5,Vermelho,Vitória,235
1,486,24,Preto,Derrota,230
1,487,21,Vermelho,Vitória,235
1,488,0,Verde,Derrota,230
1,489,31,Preto,Derrota,225
1,490,22,Preto,Derrota,220
1,491,30,Vermelho,Vitória,225
1,492,26,Preto,Derrota,220
1,493,2,Preto,Derrota,215
1,494,15,Preto,Derrota,210
1,495,28,Preto,Derrota,205
1,496,10,Preto,Derrota,200
1,497,28,Preto,Derrota,195
1,498,30,Vermelho,Vitória,200
1,499,31,Preto,Derrota,195
1,500,21,Vermelho,Vitória,200
1,501,10,Preto,Derrota,195
1,502,24,Preto,Derrota,190
1,503,33,Preto,Derrota,185
1,504,32,Vermelho,Vitória,190
1,505,22,Preto,Derrota,185
1,506,6,Preto,Derrota,180
1,507,27,Vermelho,Vitória,185
1,508,3,Vermelho,Vitória,190
1,509,18,Vermelho,Vitória,195
1,510,17,Preto,Derrota,190
1,511,11,Preto,Derrota,185
1,512,14,Vermelho,Vitória,190
1,513,33,Preto,Derrota,185
1,514,18,Vermelho,Vitória,190
1,515,15,Preto,Derrota,185
1,516,26,Preto,Derrota,180
1,517,15,Preto,Derrota,175
1,518,11,Preto,Derrota,170
1,519,4,Preto,Derrota,165
1,520,7,Vermelho,Vitória,170
1,521,18,Vermelho,Vitória,175
1,522,7,Vermelho,Vitória,180
1,523,20,Preto,Derrota,175
1,524,2,Preto,Derrota,170
1,525,29,Preto,Derrota,165
1,526,35,Preto,Derrota,160
1,527,14,Vermelho,Vitória,165
1,528,24,Preto,Derrota,160
1,529,19,Vermelho,Vitória,165
1,530,17,Preto,Derrota,160
1,531,2,Preto,Derrota,155
1,532,5,Vermelho,Vitória,160
1,533,15,Preto,Derrota,155
1,534,23,Vermelho,Vitória,160
1,535,6,Preto,Derrota,155
1,536,1,Vermelho,Vitória,160
1,537,18,Vermelho,Vitória,165
1,538,17,Preto,Derrota,160
1,539,35,Preto,Derrota,155
1,540,24,Preto,Derrota,150
1,541,12,Vermelho,Vitória,155
1,542,31,Preto,Derrota,150
1,543,26,Preto,Derrota,145
1,544,29,Preto,Derrota,140
1,545,3,Vermelho,Vitória,145
1,546,31,Preto,Derrota,140
1,547,12,Vermelho,Vitória,145
1,548,1,Vermelho,Vitória,150
1,549,31,Preto,Derrota,145
1,550,25,Vermelho,Vitória,150
1,551,27,Vermelho,Vitória,155
1,552,15,Preto,Derrota,150
1,553,25,Vermelho,Vitória,155
1,554,23,Vermelho,Vitória,160
1,555,0,Verde,Derrota,155
1,556,28,Preto,Derrota,150
1,557,34,Vermelho,Vitória,155
1,558,17,Preto,Derrota,150
1,559,21,Vermelho,Vitória,155
1,560,23,Vermelho,Vitória,160
1,561,2,Preto,Derrota,155
1,562,31,Preto,Derrota,150
1,563,35,Preto,Derrota,145
1,564,19,Vermelho,Vitória,150
1,565,33,Preto,Derrota,145
1,566,32,Vermelho,Vitória,150
1,567,10,Preto,Derrota,145
1,568,7,Vermelho,Vitória,150
1,569,8,Preto,Derrota,145
1,570,5,Vermelho,Vitória,150
1,571,3,Vermelho,Vitória,155
1,572,14,Vermelho,Vitória,160
1,573,32,Vermelho,Vitória,165
1,574,9,Vermelho,Vitória,170
1,575,34,Vermelho,Vitória,175
1,576,31,Preto,Derrota,170
1,577,16,Vermelho,Vitória,175
1,578,0,Verde,Derrota,170
1,579,5,Vermelho,Vitória,175
1,580,33,Preto,Derrota,170
1,581,3,Vermelho,Vitória,175
1,582,4,Preto,Derrota,170
1,583,31,Preto,Derrota,165
1,584,19,Vermelho,Vitória,170
1,585,14,Vermelho,Vitória,175
1,586,24,Preto,Derrota,170
1,587,18,Vermelho,Vitória,175
1,588,24,Preto,Derrota,170
1,589,5,Vermelho,Vitória,175
1,590,25,Vermelho,Vitória,180
1,591,35,Preto,Derrota,175
1,592,12,Vermelho,Vitória,180
1,593,32,Vermelho,Vitória,185
1,594,0,Verde,Derrota,180
1,595,35,Preto,Derrota,175
1,596,6,Preto,Derrota,170
1,597,7,Vermelho,Vitória,175
1,598,35,Preto,Derrota,170
1,599,12,Vermelho,Vitória,175
1,600,16,Vermelho,Vitória,180
1,601,17,Preto,Derrota,175
1,602,3,Vermelho,Vitória,180
1,603,6,Preto,Derrota,175
1,604,3,Vermelho,Vitória,180
1,605,1,Vermelho,Vitória,185
1,606,11,Preto,Derrota,180
1,607,15,Preto,Derrota,175
1,608,21,Vermelho,Vitória,180
1,609,2,Preto,Derrota,175
1,610,36,Vermelho,Vitória,180
1,611,8,Preto,Derrota,175
1,612,22,Preto,Derrota,170
1,613,4,Preto,Derrota,165
1,614,32,Vermelho,Vitória,170
1,615,6,Preto,Derrota,165
1,616,20,Preto,Derrota,160
1,617,22,Preto,Derrota,155
1,618,7,Vermelho,Vitória,160
1,619,24,Preto,Derrota,155
1,620,33,Preto,Derrota,150
1,621,33,Preto,Derrota,145
1,622,22,Preto,Derrota,140
1,623,6,Preto,Derrota,135
1,624,18,Vermelho,Vitória,140
1,625,35,Preto,Derrota,135
1,626,35,Preto,Derrota,130
1,627,17,Preto,Derrota,125
1,628,6,Preto,Derrota,120
1,629,1,Vermelho,Vitória,125
1,630,25,Vermelho,Vitória,130
1,631,5,Vermelho,Vitória,135
1,632,10,Preto,Derrota,130
1,633,30,Vermelho,Vitória,135
1,634,17,Preto,Derrota,130
1,635,4,Preto,Derrota,125
1,636,27,Vermelho,Vitória,130
1,637,18,Vermelho,Vitória,135
1,638,21,Vermelho,Vitória,140
1,639,18,Vermelho,Vitória,145
1,640,0,Verde,Derrota,140
1,641,8,Preto,Derrota,135
1,642,8,Preto,Derrota,130
1,643,12,Vermelho,Vitória,135
1,644,21,Vermelho,Vitória,140
1,645,27,Vermelho,Vitória,145
1,646,1,Vermelho,Vitória,150
1,647,12,Vermelho,Vitória,155
1,648,35,Preto,Derrota,150
1,649,27,Vermelho,Vitória,155
1,650,20,Preto,Derrota,150
1,651,3,Vermelho,Vitória,155
1,652,22,Preto,Derrota,150
1,653,5,Vermelho,Vitória,155
1,654,30,Vermelho,Vitória,160
1,655,14,Vermelho,Vitória,165
1,656,27,Vermelho,Vitória,170
1,657,33,Preto,Derrota,165
1,658,21,Vermelho,Vitória,170
1,659,4,Preto,Derrota,165
1,660,29,Preto,Derrota,160
1,661,22,Preto,Derrota,155
1,662,5,Vermelho,Vitória,160
1,663,28,Preto,Derrota,155
1,664,23,Vermelho,Vitória,160
1,665,25,Vermelho,Vitória,165
1,666,13,Preto,Derrota,160
1,667,1,Vermelho,Vitória,165
1,668,34,Vermelho,Vitória,170
1,669,0,Verde,Derrota,165
1,670,5,Vermelho,Vitória,170
1,671,27,Vermelho,Vitória,175
1,672,19,Vermelho,Vitória,180
1,673,21,Vermelho,Vitória,185
1,674,28,Preto,Derrota,180
1,675,3,Vermelho,Vitória,185
1,676,30,Vermelho,Vitória,190
1,677,5,Vermelho,Vitória,195
1,678,3,Vermelho,Vitória,200
1,679,21,Vermelho,Vitória,205
1,680,0,Verde,Derrota,200
1,681,7,Vermelho,Vitória,205
1,682,11,Preto,Derrota,200
1,683,11,Preto,Derrota,195
1,684,9,Vermelho,Vitória,200
1,685,21,Vermelho,Vitória,205
1,686,2,Preto,Derrota,200
1,687,24,Preto,Derrota,195
1,688,5,Vermelho,Vitória,200
1,689,30,Vermelho,Vitória,205
1,690,19,Vermelho,Vitória,210
1,691,21,Vermelho,Vitória,215
1,692,27,Vermelho,Vitória,220
1,693,0,Verde,Derrota,215
1,694,26,Preto,Derrota,210
1,695,34,Vermelho,Vitória,215
1,696,22,Preto,Derrota,210
1,697,11,Preto,Derrota,205
1,698,5,Vermelho,Vitória,210
1,699,11,Preto,Derrota,205
1,700,30,Vermelho,Vitória,210
1,701,5,Vermelho,Vitória,215
1,702,10,Preto,Derrota,210
1,703,29,Preto,Derrota,205
1,704,6,Preto,Derrota,200
1,705,5,Vermelho,Vitória,205
1,706,0,Verde,Derrota,200
1,707,18,Vermelho,Vitória,205
1,708,1,Vermelho,Vitória,210
1,709,27,Vermelho,Vitória,215
1,710,16,Vermelho,Vitória,220
1,711,36,Vermelho,Vitória,225
1,712,14,Vermelho,Vitória,230
1,713,18,Vermelho,Vitória,235
1,714,8,Preto,Derrota,230
1,715,15,Preto,Derrota,225
1,716,10,Preto,Derrota,220
1,717,30,Vermelho,Vitória,225
1,718,15,Preto,Derrota,220
1,719,18,Vermelho,Vitória,225
1,720,13,Preto,Derrota,220
