jogador,rodada,numero,cor,resultado,saldo
1,1061,34,Vermelho,Vitória,145
1,1062,32,Vermelho,Vitória,150
1,1063,12,Vermelho,Vitória,155
1,1064,16,Vermelho,Vitória,160
1,1065,18,Vermelho,Vitória,165
1,1066,15,Preto,Derrota,160
1,1067,9,Vermelho,Vitória,165
1,1068,18,Vermelho,Vitória,170
1,1069,10,Preto,Derrota,165
1,1070,35,Preto,Derrota,160
1,1071,26,Preto,Derrota,155
1,1072,35,Preto,Derrota,150
1,1073,30,Vermelho,Vitória,155
1,1074,13,Preto,Derrota,150
1,1075,8,Preto,Derrota,145
1,1076,28,Preto,Derrota,140
1,1077,8,Preto,Derrota,135
1,1078,0,Verde,Derrota,130
1,1079,21,Vermelho,Vitória,135
1,1080,12,Vermelho,Vitória,140
1,1081,25,Vermelho,Vitória,145
1,1082,1,Vermelho,Vitória,150
1,1083,32,Vermelho,Vitória,155
1,1084,36,Vermelho,Vitória,160
1,1085,19,Vermelho,Vitória,165
1,1086,25,Vermelho,Vitória,170
1,1087,8,Preto,Derrota,165
1,1088,26,Preto,Derrota,160
1,1089,21,Vermelho,Vitória,165
1,1090,9,Vermelho,Vitória,170
1,1091,9,Vermelho,Vitória,175
1,1092,30,Vermelho,Vitória,180
1,1093,15,Preto,Derrota,175
1,1094,35,Preto,Derrota,170
1,1095,11,Preto,Derrota,165
1,1096,22,Preto,Derrota,160
1,1097,18,Vermelho,Vitória,165
1,1098,19,Vermelho,Vitória,170
1,1099,29,Preto,Derrota,165
1,1100,21,Vermelho,Vitória,170
1,1101,12,Vermelho,Vitória,175
1,1102,18,Vermelho,Vitória,180
1,1103,14,Vermelho,Vitória,185
1,1104,11,Preto,Derrota,180
1,1105,8,Preto,Derrota,175
1,1106,10,Preto,Derrota,170
1,1107,8,Preto,Derrota,165
1,1108,35,Preto,Derrota,160
1,1109,23,Vermelho,Vitória,165
1,1110,31,Preto,Derrota,160
1,1111,20,Preto,Derrota,155
1,1112,20,Preto,Derrota,150
